dates,inf_yoy,inf_mva,inf_food_yoy,inf_food_mva,inf_core_yoy,inf_core_mva,inf_core_eng_yoy,inf_core_eng_mva,Credit to Government,Credit to Private Sector,Currency in Circulation,Demand Deposits,Money Supply M2, BDC ,nber,elect
2017/05/01,16.25,17.63,19.27,17.48,13.02,16.57,12.2,13.91,4811650.01,22025122.45,1897917.15,8736706.95,22047770.68,384.48,0,0
2017/06/01,16.1,17.58,19.91,17.87,12.46,16.22,12.02,13.79,5250486.41,21985947.18,1873544,8713043.48,21980582.35,366.25,0,0
2017/07/01,16.05,17.47,20.28,18.25,12.21,15.8,12.35,13.68,5861018,22172366.6,1769750.47,8878523.14,22195019.77,365.38,0,0
2017/08/01,16.01,17.33,20.25,18.57,12.3,15.37,12.7,13.57,4824226.22,21997220.59,1868735.07,8367573.19,21851454.31,365.57,0,0
2017/09/01,15.98,17.17,20.32,18.88,12.12,14.9,12.72,13.45,4963406.02,22021899.19,1781046.41,8628920,21953993.84,365.55,0,0
2017/10/01,15.91,16.97,20.31,19.14,12.14,14.41,12.72,13.3,5245888.6,21928917.21,1791194.52,8929288.95,22500618.01,362.21,0,0
2017/11/01,15.9,16.76,20.31,19.39,12.21,13.93,12.75,13.13,4392408.33,21956660.2,1896156.51,8561517.24,22311118.02,362.41,0,0
2017/12/01,15.37,16.5,19.42,19.55,12.09,13.46,12.6,12.97,3638893.69,22290658.31,2157229.65,9392909.39,24140634.21,362.83,0,0
2018/01/01,15.13,16.22,18.92,19.62,12.09,13.01,12.68,12.82,3971062.07,21993431.04,1945444.2,9323111.54,23963031.48,363.2,0,0
2018/02/01,14.33,15.93,17.59,19.52,11.71,12.67,12.34,12.69,4596990.16,22500911.48,1937337.46,9283797.77,24143010.28,362.48,0,0
2018/03/01,13.34,15.6,16.08,19.29,11.18,12.33,11.85,12.55,4077433.87,22363228.18,2039324.37,9365598.17,24424422.14,362.07,0,0
2018/04/01,12.48,15.2,14.8,18.89,10.92,12.02,11.64,12.38,4986326.81,22276488.79,1957219.31,9024972.01,24474153.99,362.25,0,0
2018/05/01,11.61,14.79,13.45,18.36,10.71,11.83,11.6,12.32,3029133.21,22206743.91,1930695.53,9648791.07,25169014.19,362.86,0,0
2018/06/01,11.23,14.37,12.98,17.75,10.39,11.65,11.19,12.25,2805008.21,22281866.53,1900671.87,9181207.68,24814004.52,360.66,0,1
2018/07/01,11.14,13.95,12.85,17.1,10.18,11.48,10.81,12.11,3236115.48,22261209.87,1824826.08,9199700,24971101.93,359.36,0,1
2018/08/01,11.23,13.55,13.16,16.5,10.02,11.28,10.62,11.93,2221228.26,22470241.79,1928744.27,8906602.08,24859346.47,359,0,1
2018/09/01,11.28,13.16,13.31,15.92,9.84,11.09,10.48,11.74,3440986.85,22967438.83,1926382.16,9155799.39,25560662.33,359.25,0,1
2018/10/01,11.26,12.78,13.28,15.36,9.88,10.9,10.49,11.56,3756182.62,23138495.84,1956009.42,9639700.7,26041903.87,360.81,0,1
2018/11/01,11.28,12.41,13.3,14.8,9.79,10.7,10.44,11.37,2980818.93,23095165.17,2100129.91,8976115.81,25467425.55,362.82,0,1
2018/12/01,11.44,12.1,13.56,14.35,9.77,10.51,10.43,11.19,4866094.44,22708224.97,2329706.58,9839582.35,27068575.06,363.46,0,1
2019/01/01,11.37,11.8,13.51,13.93,9.91,10.34,10.62,11.02,5705553.55,22946790.85,2139666.39,9401819.72,26771087.05,360.94,0,1
2019/02/01,11.31,11.56,13.47,13.62,9.8,10.19,10.53,10.88,6355285.12,24165578.02,2241313.48,9189598.72,26546639.71,359.76,0,1
2019/03/01,11.25,11.4,13.45,13.42,9.46,10.04,10.24,10.75,7742158.55,23994737.21,2153220.11,9163264.98,26834815.12,359.24,0,1
2019/04/01,11.37,11.31,13.7,13.34,9.28,9.91,9.94,10.61,8003857.7,24887980.09,2158698.81,9539068.74,27579445.15,359,0,1
2019/05/01,11.4,11.3,13.79,13.37,9.03,9.77,9.64,10.44,7312173.99,24882438.34,2111848.42,9678333.94,27813701.61,359.75,0,1
2019/06/01,11.22,11.3,13.56,13.42,8.84,9.64,9.35,10.29,7583241.82,24758239.63,2014073.95,9510382.66,27898828.27,359.94,0,1
2019/07/01,11.08,11.29,13.39,13.46,8.8,9.52,9.42,10.17,9143121.76,24290254.02,2003090.93,9837842.33,28277141.77,359.43,0,0
2019/08/01,11.02,11.27,13.17,13.46,8.68,9.41,9.22,10.05,9453781.5,24819228.41,2018840.38,9576481.27,27556798.88,359,0,0
2019/09/01,11.24,11.27,13.51,13.47,8.94,9.34,9.43,9.97,10451819.6,25486509.12,2005600.83,9496933.66,27669957.17,359,0,0
2019/10/01,11.61,11.3,14.09,13.54,8.88,9.25,9.45,9.88,9089561.72,25848372.48,2055946.55,8920242.81,27811790.84,359,0,0
2019/11/01,11.85,11.35,14.48,13.65,8.99,9.19,9.48,9.8,9100341.79,26412742.87,2203274.21,9131475.61,28415371.99,359,0,0
2019/12/01,11.98,11.4,14.67,13.74,9.33,9.15,9.95,9.76,9483817.98,26694526.84,2442985.64,8510497.13,28783194.45,360.25,0,0
2020/01/01,12.13,11.46,14.85,13.86,9.35,9.11,9.81,9.7,9645254.92,26651990.11,2249769.69,8467394.22,29132380.36,361,0,0
2020/02/01,12.2,11.54,14.9,13.98,9.43,9.09,9.95,9.66,10352073.72,26780120.39,2186983.4,8611984.11,29719364.53,359,1,0
2020/03/01,12.26,11.62,14.98,14.11,9.73,9.11,10.22,9.66,10009034.68,28422913.43,2296174.39,9216164.6,31010122.07,376.89,1,0
2020/04/01,12.34,11.71,15.03,14.22,9.98,9.17,10.57,9.72,10710050.78,28893877.99,2307392.55,9757261.42,31958484.85,420.15,1,0
2020/05/01,12.4,11.79,15.04,14.33,10.12,9.27,10.7,9.81,9564579.49,29349249.05,2353337.05,10578122.12,32719162.68,443.89,1,0
2020/06/01,12.56,11.9,15.18,14.46,10.13,9.37,10.57,9.93,8898424.84,29555514.73,2300831.63,10513081.51,32593522.49,447.71,1,0
2020/07/01,12.82,12.05,15.48,14.63,10.1,9.48,10.64,10.03,9661188.09,30188383.44,2395917.03,10749123.62,33337326.82,464.71,1,0
2020/08/01,13.22,12.23,16,14.87,10.52,9.64,11.07,10.18,8410276.49,30382027.42,2370886.01,11162012.03,34262588.49,473.48,1,0
2020/09/01,13.71,12.44,16.66,15.13,10.58,9.77,11.16,10.33,9683889.71,29745781.51,2427329.31,11537186.27,34965447.66,453.68,1,0
2020/10/01,14.23,12.66,17.38,15.42,11.14,9.96,11.71,10.52,10449164.26,29087977.87,2498977.64,12094391.31,35729184.39,459.5,1,0
2020/11/01,14.89,12.92,18.3,15.75,11.05,10.14,11.6,10.69,10782279.08,29411876.98,2659710.45,12562525.53,36517795.8,472.74,1,0
2020/12/01,15.75,13.25,19.56,16.17,11.37,10.31,11.83,10.85,12404818.95,30149603.45,2908462.4,13481014.17,37704975.97,471.62,1,0
2021/01/01,16.47,13.62,20.57,16.66,11.85,10.52,12.5,11.08,12304773.44,30611813.19,2831167.19,13596152.06,37740325.88,472.4,1,0
2021/02/01,17.33,14.05,21.79,17.25,12.38,10.77,12.98,11.33,12945270.7,30720797.93,2779831.6,14231417.81,38230860.01,476.05,1,0
